,Open time,Date,Open,High,Low,Close,Volume
0,1514678400000,2017-12-31_00:00:00,12345.1,13411.02,12149.98,13031.66,2701.7141000000024
1,1514692800000,2017-12-31_04:00:00,12988.04,13077.97,12459.0,12882.17,1819.0815820000007
2,1514707200000,2017-12-31_08:00:00,12797.44,13080.0,12425.98,12924.41,1523.8364219999994
3,1514721600000,2017-12-31_12:00:00,12956.49,13421.75,12870.01,13246.35,2138.6852939999994
4,1514736000000,2017-12-31_16:00:00,13226.16,14030.0,13192.02,13800.99,2465.248197000001
5,1514750400000,2017-12-31_20:00:00,13783.09,14050.11,13645.03,13707.92,1120.4241229999996
6,1514764800000,2018-01-01_00:00:00,13715.65,13715.65,13155.38,13469.94,1676.2048069999994
7,1514779200000,2018-01-01_04:00:00,13434.98,13818.55,13322.15,13550.0,1302.2148359999994
8,1514793600000,2018-01-01_08:00:00,13569.98,13735.24,13001.13,13228.95,1319.7559310000004
9,1514808000000,2018-01-01_12:00:00,13220.56,13330.0,12750.0,13246.1,1831.933153
10,1514822400000,2018-01-01_16:00:00,13247.0,13290.65,12940.0,13298.12,1092.3372340000003
11,1514836800000,2018-01-01_20:00:00,13222.03,13599.7,13222.03,13436.41,1387.469883
12,1514851200000,2018-01-02_00:00:00,13382.16,13850.0,13231.96,13336.41,2365.5329259999994
13,1514865600000,2018-01-02_04:00:00,13353.78,13480.84,12890.02,13339.96,2980.3160530000005
14,1514880000000,2018-01-02_08:00:00,13343.01,13617.28,13302.59,13497.99,2596.1826739999988
15,1514894400000,2018-01-02_12:00:00,13490.0,13894.86,13450.46,13698.94,3365.8795079999977
16,1514908800000,2018-01-02_16:00:00,13690.02,15473.49,13503.0,14780.0,5090.273483
17,1514923200000,2018-01-02_20:00:00,14710.02,15160.31,14544.0,14700.0,3679.907467000001
18,1514937600000,2018-01-03_00:00:00,14690.0,15299.99,14660.0,14844.02,3303.833590000002
19,1514952000000,2018-01-03_04:00:00,14805.81,15307.56,14795.05,15168.98,3211.702067
20,1514966400000,2018-01-03_08:00:00,15170.0,15172.99,14150.0,14760.0,4202.802941999999
21,1514980800000,2018-01-03_12:00:00,14764.73,15045.51,14400.04,15055.0,2082.734125
22,1514995200000,2018-01-03_16:00:00,15045.0,15130.0,14671.0,14701.51,1659.6973529999982
23,1515009600000,2018-01-03_20:00:00,14700.01,14990.0,14683.0,14897.96,1444.8975619999997
24,1515024000000,2018-01-04_00:00:00,14919.51,15280.0,14649.99,14930.0,4045.5430890000034
25,1515045900000,2018-01-04_06:05:00,14909.21,15100.0,13918.04,14290.3,4292.613246000001
26,1515060300000,2018-01-04_10:05:00,14280.0,14653.4,14181.88,14485.0,3759.694799000001
27,1515074700000,2018-01-04_14:05:00,14516.24,14700.89,14238.01,14748.99,4173.885627
28,1515089100000,2018-01-04_18:05:00,14700.89,15011.0,14679.5,14787.46,3454.070402999999
29,1515103500000,2018-01-04_22:05:00,14787.49,15100.08,14601.0,15099.0,3293.4301649999984
30,1515117900000,2018-01-05_02:05:00,15075.43,15200.0,14600.0,14970.01,3823.831474000001
31,1515132300000,2018-01-05_06:05:00,14975.0,16111.0,14700.0,15858.01,3938.964386
32,1515146700000,2018-01-05_10:05:00,15870.0,16350.0,15750.0,15992.29,3924.953462999999
33,1515161100000,2018-01-05_14:05:00,15973.01,17118.13,15950.2,16714.02,3698.250437999998
34,1515175500000,2018-01-05_18:05:00,16740.0,16988.0,16310.0,16649.01,4422.2064709999995
35,1515189900000,2018-01-05_22:05:00,16717.57,17176.24,16645.24,17048.98,3745.801241999998
36,1515204300000,2018-01-06_02:05:00,17049.0,17060.0,16288.0,16698.2,3786.7609719999996
37,1515218700000,2018-01-06_06:05:00,16699.99,16706.95,16340.0,16445.94,1836.831701
38,1515233100000,2018-01-06_10:05:00,16415.0,16750.01,16011.21,16209.97,3307.238698000002
39,1515247500000,2018-01-06_14:05:00,16170.0,16982.0,16170.0,16824.98,3348.3743750000012
40,1515261900000,2018-01-06_18:05:00,16780.11,16929.99,16582.98,16818.98,2924.358866000001
41,1515276300000,2018-01-06_22:05:00,16792.0,17143.13,16790.09,16924.02,2932.5330710000017
42,1515290700000,2018-01-07_02:05:00,16924.04,16942.0,16400.0,16540.99,3145.130710999999
43,1515305100000,2018-01-07_06:05:00,16501.02,16886.75,16400.0,16709.99,2323.4027509999996
44,1515319500000,2018-01-07_10:05:00,16658.0,16814.72,16300.0,16460.73,1028.395836
45,1515333900000,2018-01-07_14:05:00,16429.01,16592.0,15715.06,15899.0,2389.857137
46,1515348300000,2018-01-07_18:05:00,15869.0,16299.95,15610.0,16201.35,1513.1961050000002
47,1515362700000,2018-01-07_22:05:00,16189.95,16500.0,15655.0,15970.98,2064.931429
48,1515377100000,2018-01-08_02:05:00,15920.0,16100.0,15476.0,15709.98,3185.995586999999
49,1515391500000,2018-01-08_06:05:00,15709.99,15921.68,14551.0,14624.01,4261.217734000002
50,1515405900000,2018-01-08_10:05:00,14700.01,15499.0,14444.0,14500.62,4461.101052
51,1515420300000,2018-01-08_14:05:00,14497.99,14966.51,12812.0,14700.0,9413.659904
52,1515434700000,2018-01-08_18:05:00,14629.0,15270.99,14527.08,14828.0,2405.4328800000003
53,1515449100000,2018-01-08_22:05:00,14830.0,15320.0,14392.32,15185.51,2696.843155000001
54,1515463500000,2018-01-09_02:05:00,15220.0,15500.0,14670.0,14850.0,2071.071905999999
55,1515477900000,2018-01-09_06:05:00,14850.83,15300.0,14601.0,14749.95,1720.9897529999996
56,1515492300000,2018-01-09_10:05:00,14798.99,14829.98,14011.05,14300.0,3660.7739209999986
57,1515506700000,2018-01-09_14:05:00,14280.0,14998.62,14095.0,14917.99,2509.961577000002
58,1515521100000,2018-01-09_18:05:00,14904.83,14990.0,14420.0,14442.01,1526.5586819999999
59,1515535500000,2018-01-09_22:05:00,14444.6,14536.36,13750.0,14238.07,3318.2559899999983
60,1515549900000,2018-01-10_02:05:00,14225.0,14323.0,13866.66,14092.0,2514.2764149999994
61,1515564300000,2018-01-10_06:05:00,14096.88,14349.99,13131.31,13850.0,4525.955106000004
62,1515578700000,2018-01-10_10:05:00,13859.99,14128.3,13485.09,13834.45,2863.0462890000013
63,1515593100000,2018-01-10_14:05:00,13835.0,14698.12,13500.0,14590.0,3484.491978999999
64,1515607500000,2018-01-10_18:05:00,14596.21,14735.43,14172.95,14547.63,1359.6744219999991
65,1515621900000,2018-01-10_22:05:00,14499.95,14968.68,14251.0,14489.95,1963.2629629999994
